Study.ID,rep,density.number,measure,shrub-animal,facilitation,plant.species,animal.species,animal.richness,animal.abundance,animal.diversity,lat,lng,macrohabitat,mesohabitat,standardized.density,standardized.density.unit,n_days,n_years
115,115.5,1667,no/ha^2,y,y,Caragana korshinskii ,Aphodiidae,22,3,,38.166667,107.683333,grassland,shrub,0.1667,shrubs/m^2,10,
115,115.52,1667,no/ha^2,y,y,Caragana korshinskii ,Silphidae,22,3.3,,38.166667,107.683333,grassland,shrub,0.1667,shrubs/m^2,10,
115,115.53,1667,no/ha^2,y,y,Caragana korshinskii ,Histeridae,22,2.7,,38.166667,107.683333,grassland,shrub,0.1667,shrubs/m^2,10,
115,115.59,1667,no/ha^2,y,y,Caragana korshinskii ,Tenebrionidae,22,60,,38.166667,107.683333,grassland,shrub,0.1667,shrubs/m^2,10,
115,115.63,1667,no/ha^2,y,y,Caragana korshinskii ,Curculionidae,22,18.7,,38.166667,107.683333,grassland,shrub,0.1667,shrubs/m^2,10,
115,115.68,1667,no/ha^2,y,y,Caragana korshinskii ,Formicidae,22,154,,38.166667,107.683333,grassland,shrub,0.1667,shrubs/m^2,10,
115,115.69,1667,no/ha^2,y,y,Caragana korshinskii ,Megachilidae,22,1,,38.166667,107.683333,grassland,shrub,0.1667,shrubs/m^2,10,
115,115.02,2000,no/ha^2,y,y,Caragana korshinskii ,Phalangiidae,11,1,,38.166667,107.683333,grassland,shrub,0.2,shrubs/m^2,10,
115,115.06,2000,no/ha^2,y,y,Caragana korshinskii ,Lycosidae,11,1,,38.166667,107.683333,grassland,shrub,0.2,shrubs/m^2,10,
115,115.1,2000,no/ha^2,y,y,Caragana korshinskii ,Gnaphosidae,11,2,,38.166667,107.683333,grassland,shrub,0.2,shrubs/m^2,10,
115,115.16,2000,no/ha^2,y,y,Caragana korshinskii ,Labiduridae,11,1.7,,38.166667,107.683333,grassland,shrub,0.2,shrubs/m^2,10,
115,115.18,2000,no/ha^2,y,y,Caragana korshinskii ,Arcypteridae,11,1,,38.166667,107.683333,grassland,shrub,0.2,shrubs/m^2,10,
115,115.25,2000,no/ha^2,y,y,Caragana korshinskii ,Carabidae,11,11.7,,38.166667,107.683333,grassland,shrub,0.2,shrubs/m^2,10,
115,115.28,2000,no/ha^2,y,y,Caragana korshinskii ,Chrysomelidae,11,1,,38.166667,107.683333,grassland,shrub,0.2,shrubs/m^2,10,
115,115.37,2000,no/ha^2,y,y,Caragana korshinskii ,Glaphyridae,11,1.3,,38.166667,107.683333,grassland,shrub,0.2,shrubs/m^2,10,
115,115.42,2000,no/ha^2,y,y,Caragana korshinskii ,Melolonthidae,11,9,,38.166667,107.683333,grassland,shrub,0.2,shrubs/m^2,10,
115,115.46,2000,no/ha^2,y,y,Caragana korshinskii ,Geotrupidae,11,2.3,,38.166667,107.683333,grassland,shrub,0.2,shrubs/m^2,10,
115,115.49,2000,no/ha^2,y,y,Caragana korshinskii ,Aphodiidae,11,3,,38.166667,107.683333,grassland,shrub,0.2,shrubs/m^2,10,
115,115.57,2000,no/ha^2,y,y,Caragana korshinskii ,Tenebrionidae,11,57,,38.166667,107.683333,grassland,shrub,0.2,shrubs/m^2,10,
115,115.61,2000,no/ha^2,y,y,Caragana korshinskii ,Curculionidae,11,4,,38.166667,107.683333,grassland,shrub,0.2,shrubs/m^2,10,
115,115.64,2000,no/ha^2,y,y,Caragana korshinskii ,Asilidae,11,1,,38.166667,107.683333,grassland,shrub,0.2,shrubs/m^2,10,
115,115.66,2000,no/ha^2,y,y,Caragana korshinskii ,Formicidae,11,81.7,,38.166667,107.683333,grassland,shrub,0.2,shrubs/m^2,10,
115,115.08,2500,no/ha^2,y,y,Caragana korshinskii ,Thomisidae,13,1.3,,38.166667,107.683333,grassland,shrub,0.25,shrubs/m^2,10,
115,115.24,2500,no/ha^2,y,y,Caragana korshinskii ,Carabidae,13,77,,38.166667,107.683333,grassland,shrub,0.25,shrubs/m^2,10,
115,115.31,2500,no/ha^2,y,y,Caragana korshinskii ,Buprestidae,13,2.7,,38.166667,107.683333,grassland,shrub,0.25,shrubs/m^2,10,
115,115.34,2500,no/ha^2,y,y,Caragana korshinskii ,Elateridae,13,3,,38.166667,107.683333,grassland,shrub,0.25,shrubs/m^2,10,
115,115.36,2500,no/ha^2,y,y,Caragana korshinskii ,Glaphyridae,13,28.3,,38.166667,107.683333,grassland,shrub,0.25,shrubs/m^2,10,
115,115.41,2500,no/ha^2,y,y,Caragana korshinskii ,Melolonthidae,13,98,,38.166667,107.683333,grassland,shrub,0.25,shrubs/m^2,10,
115,115.45,2500,no/ha^2,y,y,Caragana korshinskii ,Geotrupidae,13,11.7,,38.166667,107.683333,grassland,shrub,0.25,shrubs/m^2,10,
115,115.51,2500,no/ha^2,y,y,Caragana korshinskii ,Silphidae,13,1,,38.166667,107.683333,grassland,shrub,0.25,shrubs/m^2,10,
115,115.56,2500,no/ha^2,y,y,Caragana korshinskii ,Tenebrionidae,13,144.3,,38.166667,107.683333,grassland,shrub,0.25,shrubs/m^2,10,
115,115.6,2500,no/ha^2,y,y,Caragana korshinskii ,Curculionidae,13,51.3,,38.166667,107.683333,grassland,shrub,0.25,shrubs/m^2,10,
115,115.65,2500,no/ha^2,y,y,Caragana korshinskii ,Formicidae,13,61.7,,38.166667,107.683333,grassland,shrub,0.25,shrubs/m^2,10,
115,115.7,2500,no/ha^2,y,y,Caragana korshinskii ,_Scoliidae,13,1,,38.166667,107.683333,grassland,shrub,0.25,shrubs/m^2,10,
115,115.71,2500,no/ha^2,y,y,Caragana korshinskii ,Sphecidae,13,1,,38.166667,107.683333,grassland,shrub,0.25,shrubs/m^2,10,
115,115.03,5000,no/ha^2,y,y,Caragana korshinskii ,Phalangiidae,12,3.7,,38.166667,107.683333,grassland,shrub,0.5,shrubs/m^2,10,
115,115.11,5000,no/ha^2,y,y,Caragana korshinskii ,Philodromidae,12,1.3,,38.166667,107.683333,grassland,shrub,0.5,shrubs/m^2,10,
115,115.13,5000,no/ha^2,y,y,Caragana korshinskii ,Liocranidae,12,3.3,,38.166667,107.683333,grassland,shrub,0.5,shrubs/m^2,10,
115,115.21,5000,no/ha^2,y,y,Caragana korshinskii ,Lygaeidae,12,3.7,,38.166667,107.683333,grassland,shrub,0.5,shrubs/m^2,10,
115,115.26,5000,no/ha^2,y,y,Caragana korshinskii ,Carabidae,12,27.7,,38.166667,107.683333,grassland,shrub,0.5,shrubs/m^2,10,
115,115.33,5000,no/ha^2,y,y,Caragana korshinskii ,Staphylinidae,12,1.3,,38.166667,107.683333,grassland,shrub,0.5,shrubs/m^2,10,
115,115.35,5000,no/ha^2,y,y,Caragana korshinskii ,Elateridae,12,1.3,,38.166667,107.683333,grassland,shrub,0.5,shrubs/m^2,10,
115,115.38,5000,no/ha^2,y,y,Caragana korshinskii ,Glaphyridae,12,7.3,,38.166667,107.683333,grassland,shrub,0.5,shrubs/m^2,10,
115,115.43,5000,no/ha^2,y,y,Caragana korshinskii ,Melolonthidae,12,65,,38.166667,107.683333,grassland,shrub,0.5,shrubs/m^2,10,
115,115.47,5000,no/ha^2,y,y,Caragana korshinskii ,Geotrupidae,12,1,,38.166667,107.683333,grassland,shrub,0.5,shrubs/m^2,10,
115,115.58,5000,no/ha^2,y,y,Caragana korshinskii ,Tenebrionidae,12,54.3,,38.166667,107.683333,grassland,shrub,0.5,shrubs/m^2,10,
115,115.62,5000,no/ha^2,y,y,Caragana korshinskii ,Curculionidae,12,19.7,,38.166667,107.683333,grassland,shrub,0.5,shrubs/m^2,10,
115,115.67,5000,no/ha^2,y,y,Caragana korshinskii ,Formicidae,12,54,,38.166667,107.683333,grassland,shrub,0.5,shrubs/m^2,10,
115,115.72,5000,no/ha^2,y,y,Caragana korshinskii ,Sphecidae,12,1.7,,38.166667,107.683333,grassland,shrub,0.5,shrubs/m^2,10,
169,169.01,1,no/25m^2,y,y,Grabowskia duplicata ,Atta vollenweider,,,,-32.52,-58.02,savanna,shrub/mound,0.04,shrubs/m^2,,
169,169.02,5,no/25m^2,y,y,Grabowskia duplicata ,Atta vollenweider,,,,-32.52,-58.02,savanna,shrub/mound,0.2,shrubs/m^2,,
169,169.03,20,no/25m^2,y,y,Grabowskia duplicata ,Atta vollenweider,,,,-32.52,-58.02,savanna,shrub/mound,0.8,shrubs/m^2,,
169,169.04,4,no/25m^2,y,y,Grabowskia duplicata ,Atta vollenweider,,,,-32.52,-58.02,savanna,shrub/mound,0.16,shrubs/m^2,,
169,169.05,0.5,no/25m^2,y,y,Grabowskia duplicata ,Atta vollenweider,,,,-32.52,-58.02,savanna,shrub/mound,0.02,shrubs/m^2,,
169,169.06,2,no/25m^2,y,y,Grabowskia duplicata ,Atta vollenweider,,,,-32.52,-58.02,savanna,shrub/mound,0.08,shrubs/m^2,,
169,169.07,2,no/25m^2,y,y,Grabowskia duplicata ,Atta vollenweider,,,,-32.52,-58.02,savanna,shrub/mound,0.08,shrubs/m^2,,
169,169.08,0.5,no/25m^2,y,y,Grabowskia duplicata ,Atta vollenweider,,,,-32.52,-58.02,savanna,shrub/mound,0.02,shrubs/m^2,,
169,169.09,1,no/25m^2,y,y,Grabowskia duplicata ,Atta vollenweider,,,,-32.52,-58.02,savanna,shrub/mound,0.04,shrubs/m^2,,
169,169.1,3,no/25m^2,y,y,Grabowskia duplicata ,Atta vollenweider,,,,-32.52,-58.02,savanna,shrub/mound,0.12,shrubs/m^2,,
169,169.11,3,no/25m^2,y,y,Grabowskia duplicata ,Atta vollenweider,,,,-32.52,-58.02,savanna,shrub/mound,0.12,shrubs/m^2,,
169,169.12,1,no/25m^2,y,y,Grabowskia duplicata ,Atta vollenweider,,,,-32.52,-58.02,savanna,shrub/mound,0.04,shrubs/m^2,,
169,169.13,1,no/25m^2,y,y,Grabowskia duplicata ,Atta vollenweider,,,,-32.52,-58.02,savanna,shrub/mound,0.04,shrubs/m^2,,
169,169.14,3,no/25m^2,y,y,Grabowskia duplicata ,Atta vollenweider,,,,-32.52,-58.02,savanna,shrub/mound,0.12,shrubs/m^2,,
169,169.15,20,no/25m^2,y,y,Grabowskia duplicata ,Atta vollenweider,,,,-32.52,-58.02,savanna,shrub/mound,0.8,shrubs/m^2,,
169,169.16,5,no/25m^2,y,y,Grabowskia duplicata ,Atta vollenweider,,,,-32.52,-58.02,savanna,shrub/mound,0.2,shrubs/m^2,,
